game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q135023219,Battle Train,стратегическая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q135030870,The Strongest TOFU,экшен,для всех,PEGI 3,2025
http://www.wikidata.org/entity/Q135030870,The Strongest TOFU,сайд-скроллер,для всех,PEGI 3,2025
http://www.wikidata.org/entity/Q135114669,"Dear me, I was…",приключенческая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q135442515,Pokémon Friends,головоломка,для всех,,2025
http://www.wikidata.org/entity/Q135579891,Chillin' by the Fire,симулятор,для всех,,2025
http://www.wikidata.org/entity/Q136676299,Chicken Run: Eggstraction,,для всех,PEGI 7,2025
http://www.wikidata.org/entity/Q138497393,Q138497393,экшен,для всех,PEGI 3,2025
http://www.wikidata.org/entity/Q138497650,Q138497650,экшен,для всех,,2025
http://www.wikidata.org/entity/Q113875958,Disney Illusion Island,платформер,для всех,,2025
http://www.wikidata.org/entity/Q115868379,A-Train: All Aboard! Tourism,симулятор,для всех,,2025
http://www.wikidata.org/entity/Q116198136,Kemono Heroes,beat ’em up,для всех,,2025
http://www.wikidata.org/entity/Q28044889,Astronner,приключенческая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q28044889,Astronner,песочница,для всех,,2025
http://www.wikidata.org/entity/Q28044889,Astronner,научно-фантастическая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q118143124,"Little Kitty, Big City",приключенческая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q118143124,"Little Kitty, Big City",симулятор,для всех,,2025
http://www.wikidata.org/entity/Q120733019,Q120733019,приключенческая компьютерная игра,для всех,PEGI 3,2025
http://www.wikidata.org/entity/Q120733019,Q120733019,головоломка,для всех,PEGI 3,2025
http://www.wikidata.org/entity/Q122822745,Wobbly Life,приключенческая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q122822745,Wobbly Life,экшен,для всех,,2025
http://www.wikidata.org/entity/Q122822745,Wobbly Life,приключенческий экшен,для всех,,2025
http://www.wikidata.org/entity/Q122822745,Wobbly Life,казуальная игра,для всех,,2025
http://www.wikidata.org/entity/Q122822745,Wobbly Life,симулятор,для всех,,2025
http://www.wikidata.org/entity/Q123456948,On Your Tail,приключенческая компьютерная игра,для всех,,2025
http://www.wikidata.org/entity/Q123456948,On Your Tail,симулятор жизни,для всех,,2025
http://www.wikidata.org/entity/Q123680894,Q123680894,головоломка,для всех,,2025
http://www.wikidata.org/entity/Q118233965,Teenage Mutant Ninja Turtles: Splintered Fate,roguelike,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q119361390,Dungeons of Hinterberg,action RPG,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q115405040,Wonder Boy Asha in Monster World,приключенческая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q115405040,Wonder Boy Asha in Monster World,экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q115405040,Wonder Boy Asha in Monster World,приключенческий экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q115405040,Wonder Boy Asha in Monster World,платформер,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q116303945,9 Years of Shadows,метроидвания,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q116303945,9 Years of Shadows,фэнтезийная компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q116734047,Fantasy Life i: The Girl Who Steals Time,action RPG,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q116734047,Fantasy Life i: The Girl Who Steals Time,симулятор,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q117230309,Wargroove 2,стратегическая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,приключенческий экшен,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,метроидвания,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,соулсвания,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q63294487,Hollow Knight: Silksong,2D-платформер,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q121335879,Palia,массовая многопользовательская ролевая онлайн-игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122350620,Once Upon a Jester,приключенческая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122350620,Once Upon a Jester,приключенческий экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122350620,Once Upon a Jester,музыкальная компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122350620,Once Upon a Jester,казуальная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122741093,Rusty Rabbit,приключенческий экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122741093,Rusty Rabbit,сайд-скроллер,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q122948317,Madō Monogatari 4,компьютерная ролевая игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q124291010,Love Live! Nijigasaki High School Idol Club: Tokimeki Roadmap to Future,визуальная новелла,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q124395880,Sonic X Shadow Generations,приключенческий экшен,для всех старше 10 лет,PEGI 7,2025
